ftp.au.debian.org
ftp.at.debian.org
ftp.by.debian.org
ftp.be.debian.org
ftp.br.debian.org
ftp.ca.debian.org
ftp.cl.debian.org
ftp.cn.debian.org
ftp.hr.debian.org
ftp.cz.debian.org
ftp.dk.debian.org
ftp.sv.debian.org
ftp.ee.debian.org
ftp.fi.debian.org
ftp.fr.debian.org
ftp.de.debian.org
ftp.hk.debian.org
ftp.hu.debian.org
ftp.it.debian.org
ftp.jp.debian.org
ftp.kr.debian.org
ftp.lt.debian.org
ftp.md.debian.org
ftp.nl.debian.org
ftp.nz.debian.org
ftp.no.debian.org
ftp.pl.debian.org
ftp.pt.debian.org
ftp.ru.debian.org
ftp.sk.debian.org
ftp.si.debian.org
ftp.es.debian.org
ftp.se.debian.org
ftp.ch.debian.org
ftp.tw.debian.org
ftp.us.debian.org
mirror.powerfly.ca
mirrors.sarata.com
gnu.mirrors.hoobly.com
mirror.keystealth.org
mirror.nbtelecom.com.br
mirror.cedia.org.ec
mirror.lagoon.nc
